person_id,institution,program,location
1,Lead City University,Bachelor of Science,
2,lagos state university,bsc in computer science,"Lagos, GU"
3,"JNTU - Kakinada, Andhra Pradesh",Master of Computer Applications in Science and technology,"Kakinada, Andhra Pradesh"
4,University of Informatics,Bachelor in Computer Science,June 2007
5,Virginia Commomwealth University,,"Richmond, VA"
6,"School of Professional and Graduate Studies/Technical Courses, BAKER UNIVERSITY",,"Overland Park, KS"
6,UNIVERSITY OF ALASKA,General/Business/Science Courses,"Anchorage, AK"
7,University Of Yaounde,Biochemistry,Yaounde
8,Bowie State University,Bachelor's Degree in BiologyChem / Computer Science,
9,Bridgewater State University,Management - Information Systems,Present
9,Bristol Community College,Computer Science/Information Systems,
9,University of Massachusetts - Dartmouth,Computer Science/Information Systems,"Dartmouth, MA"
10,University of Maryland-University College,Information Technology,"Adelphi, MD"
11,George Washington University,BA Political Science,"Washington, DC"
12,University of Maryland,Associate's degree,
13,University of Yaoundé II,Bachelor's Degree,
14,The University of Iowa,B.A. in Computer Science,"Iowa City, IA"
15,Sufia Institute of Science & Technology,Bachelor's in Management in Finance,
16,,,
17,University of Trento,Master's in science,Italy
17,Addis Ababa University,Master's in Science,Ethiopia
18,Middle Tennessee State University,Bachelor of Business Administration in Accounting,"Murfreesboro, TN"
19,Radford University,Bachelor of Science,"Radford, VA"
20,Stevens Institute of Technology,Computer Science,"Hoboken, NJ"
21,University of Buea,Bachelor's in Computer Science and Business Management,Buea
21,Lycee of Bandjoun,High school or equivalent in Genaral Study,Bandjoun
22,North Dakota State University,Bachelor of Science,"Fargo, ND"
23,University of Maryland University College,Bachelor's in Computer Science,"Largo, MD"
23,Community College of Baltimore County,Associate in Information Technology,"Essex, MD"
24,OLNC Training Center,BSc in Science of Education,"Cincinnati, OH"
24,University of Buea,,
25,HOWARD UNIVERSITY,Bachelor of Science in Business Information Systems,"Washington, DC"
25,UNIVERSITY OF PHOENIX,,
27,North Carolina A&T State University,Industrial Engineering,North Carolina
28,UNLV,Bachelor's in Business Administration,"Las Vegas, NV"
29,Savannah State University,Bachelor of Science in Computer Science,"Savannah, GA"
30,MVJ College of Engineering,Bachelor of Engineering,"Whitefield - Bengaluru, Karnataka"
31,University Of Huddersfield,Master's in Computer Integrated Manufacturing and Management in Computer Integrated Manufacturing and Management,Huddersfield
31,Jawaharlal Nehru Technological University,Bachelor of Engineering in Engineering,"Hyderabad, Telangana"
32,DeVry Institute,Bachelor's in Information Technology,"Dallas, TX"
32,Tarrant County Junior College,General Studies,"Fort Worth, TX"
32,James Bowie High School,High school or equivalent in General Studies,"Arlington, TX"
33,,,
34,MAIWAND University,Bachelor of Business Administration in Business Administration,
34,Danish Institute,Diploma in Information Technology,
35,Cascadia Community College,ADMINISTRATION CERTIFICATION,"Bothell, WA"
35,Sensum Computer College,BACHELOR OF INFORMATION TECHNOLOGY in INFORMATION TECHNOLOGY,"Faisalabad, PK"
36,RAJIV GANDHI TECHNICAL UNIVERSITY,BACHELOR OF ENGINEERING in COMPUTER SCIENCE & ENGINEERING,"Bhopal, Madhya Pradesh"
37,United Methodist University,BSC in Information Systems and Cyber Security,
38,Jawaharlal Nehru Technological University Hyderabad,Bachelor of Technology in Technology,Hyderabad
40,,,
41,University of Uyo,Bachelor of Science in Economics,
42,Northern Virginia Community College,Associate of Arts in Early Childhood Development in Education and Certificates,"Alexandria, VA"
44,University of Wisconsin - Milwaukee,Master of Library and Information Science in Library and Information Science,WI
44,University of Wisconsin - Milwaukee,Bachelor of Science in Information Science and Technology,WI
44,University of Wisconsin - Whitewater,Bachelor of Arts in History,WI
45,Southern New Hampshire University,BS in Game art and design,July 2018 to July 2020
45,HIGH SCHOOL DIPLOMA,,June 2009
46,University of Houston,BBA in Management Information Systems,"Houston, TX"
48,George Mason University,Bachelors of Science in Global and Community Health,
50,Bachelor's,,
51,Bachelor's,,
52,Harrisburg University of Science and Technology,Master of Science in Information Systems Engineering & Management,
52,State University of New York at New Paltz,Master of Science in Electrical Engineering,"New Paltz, NY"
53,University of Buea,Bachelor's,
54,"Pune University/Fergusson College - Pune, Maharashtra",Bachelor of Science in Computer Science,"Pune, Maharashtra"
55,Kabul University,Bachelor in Computer Science,"Kabul, AF"
56,CITY COLLEGE OF THE CITY UNIVERSITY OF NEW YORK,B.E in Computer Engineering,"New York, NY"
57,The University of Texas at Dallas,M.S.,"Dallas, TX"
57,University of Mumbai,B.E. in Electronics Engineering,
58,The Pennsylvania State University,BS in Information Sciences and Technology,"University Park, PA"
59,University of Maryland University College,Certificate in Information Assurance,"Largo, MD"
59,University of Maryland University College,Master in Information Technology,"Largo, MD"
59,Howard University,Bachelor of Health in Health Care Management,"Washington, DC"
60,UNIVERSITY ANA. G MENDEZ,BBA in Business Administration and Information Systems,"Piedras, PR, US"
60,LICEO DE ARTE Y TECNOLOGÍA,AD in Electric and Industrial Electronic Technician & Electrical Technician Assistant License,"Piedras, PR, US"
62,University of Buea,Bachelor's in Math and Computer Science,Buea
63,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,Bachelor of Technology in Technology,"Hyderabad, Telangana"
64,Duquesne University,Bachelor of Health in Sciences,"Pittsburgh, PA"
64,Duquesne University,Master of Health Management Systems in Health Management Systems,"Pittsburgh, PA"
65,University of Maryland University College,B.S. in Psychology,
65,University of Maryland Baltimore County,,"Baltimore, MD"
66,Databases COIN Consultancy and Training Institute,Diploma,"Dunwoody, GA"
66,Southern State Polytechnic University,,"Marietta, GA"
68,University of Science and Technology,BS in Computer Science,
69,University of Ilorin,B.Sc. in Computer Science,Ilorin
69,St Gabriel Comm. Sec. Sch,S.S.C. in Science,
69,Raftad Computer School,,Ibadan
70,MT. HOOD COMMUNITY COLLEGE,Associates Degree in Computer Application Specialist,"Gresham, OR"
71,JNTU University,Master of Computer Application in Computer Application,
71,Osmania University,Bsc in Computer Science,
73,Bachelor's,,
74,Southern New Hampshire University,MBA in Engineering Management,"Hooksett, NH"
75,Westcliff University,Master's in Business Administration & Finance,"Cerritos, CA"
75,California University of Management & Sciences,Master's in Business Administration,"Anaheim, CA"
75,Kangwon National University,Bachelor's in electronic & telecommunication engineering,Chuncheon
76,Northland College,None in Outdoor Education,"Ashland, WI"
76,Central Lakes College-Brainerd,Associate in Liberal Arts,"Brainerd, MN"
77,UNIVERSITY OF BUEA,BACHELORS,Buea
80,NOVA Southeastern University,Master of Science in Information Technology in database systems,"Fort Lauderdale, FL"
81,University of Connecticut,Bachelor's in Mathematics,"Storrs, CT"
82,Center Place Restoration School,High School Diploma,"Independence, MO"
82,Metropolitan Community College,Associate of Applied Science in Information Technology,"Kansas City, MO"
83,La Salle University,Bachelor of Arts in History,"Philadelphia, PA"
84,Cornell University,Bachelor of Science in Atmospheric Physics,
84,Arba Minch University,,
85,Liverpool Hope University,Master's in Business and Management,Liverpool
85,Liverpool Hope University,Master's in Leadership and Management,Liverpool
86,SOUTHERN NEW HAMPSHIRE UNIVERSITY,Bachelor of Science in Information Technologies in Cybersecurity,
87,Towson University,B.S,"Baltimore, MD"
89,Western Governors University,MS in Information Technology in Management,
89,University of Phoenix,BS in Information Technology/Business Systems in Continuing,
90,University of Maryland University College,M.S in Database Administration,"Adelphi, MD"
90,University of Maryland University College,Graduate Certificate in Database Administration,"Adelphi, MD"
90,Saint Francis University,BS in MIS,"Loretto, PA"
91,Strayer University,"Bachelor of Science in research, design","Chantilly, VA"
91,Strayer University,Associate of Arts in Computer Information Systems,
91,Strayer University,Certificate in cooperation,"Parsippany, NJ"
92,MCS Masters in Computer Science,Masters in Computer Science,
92,BCS Bachelor of Computer Science,Bachelor of Computer Science,
92,Information Systems Diploma in Business Administration,Diploma in Business Administration,
92,DCP MCP Diploma in Computer Programmer,Diploma in Computer Programmer,
92,Oracle Certified Associate,Oracle Certified Associate,
93,University of North Texas,Bachelor of Science in Criminal Justice,Criminal Justice
94,San Antonio College,mathematics and physics,"San Antonio, TX"
94,University of Texas San Antonio,Electrical Engineering,"San Antonio, TX"
95,California State University,Bachelor in Computer Information,
98,HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY,B.A. in HISTORY AND CLASSICAL LANGUAGES,
98,UNIVERSITY OF TEXAS AT AUSTIN,,"Austin, TX"
99,"Ambrose Alli University, Ekpoma, Edo State",Security+ Certification,
100,Anne Arundel Community college,Associate of Applied Science in Information Assurance and Cybersecurity,"Hanover, MD"
101,Columbia University (through EDX),MicroMasters in Artificial Intelligence and Machine Learning,"New York, NY"
101,Radboud University,Master's in Computer Science,"Nijmegen, The Netherlands"
101,Zuyd Hogeschool,Bachelor's in Computer Science,"Heerlen, The Netherlands"
102,Maseno University,BS in Computer Science,
104,Arizona State University-Polytechnic,Business Communications,"Mesa, AZ"
104,Bucks County Community College,Associates Degree in Business Administration in Accounting,"Newtown, PA"
105,University of Lagos,Bachelor of Science in Civil and Environmental Engineering,"Lagos, NG"
106,Dade College,A.A. in Networking Services Technology,"Miami, FL"
106,Coral Gables Senior High,,"Coral Gables, FL"
107,Moscow Extern Humanitarian University,Associate in Culture and art,Moscow
108,Hamline University,Bachelor of Arts in Digital Media Arts,"Saint Paul, MN"
109,University of South Alabama,Master of Science in Computer Information Sciences,"Mobile, AL"
109,University of South Alabama,Bachelor of Science in International Business,"Mobile, AL"
110,Kennesaw State University,Master of Science in Information Systems,"Kennesaw, GA"
110,University of Benin,Bachelor of Engineering in Computer Engineering,
112,University of North Carolina at Charlotte,Bachelor of Arts in Biology,"Charlotte, NC"
112,Johnston Community College,Associates of Arts,
112,Johnston County Early College Academy,H.S. Diploma,
113,The George Washington University,Bachelor of Science in Applied Mathematics,
114,Osun state college of technology,Bachelor's in Financial Accounting,
115,University of Texas at Dallas,M.S. Information Technology in English,"Dallas, TX"
115,University of Texas at Dallas,B.S. in Information Technology,"Dallas, TX"
116,University of Illinois at Chicago,Bachelor of Science in Information & Decision Sciences,"Chicago, IL"
117,University of Michigan,Certificate in UX Research and Design,
117,California Institute of Integral Studies,PhD in Transformative Inquiry & Consciousness Studies,"San Francisco, CA"
117,Arizona State University,Master of Liberal Arts in Science and Culture,
117,Arizona State University,BS in Industrial Technology Interactive Computer Graphics 3D,
118,Norfolk State University,B. S. in Accounting,"Norfolk, VA"
119,Healing Hands Holistic Health School,,
120,Morgan State University,Bachelor of Arts in Philosophy Pre-Law,Morgan State University
121,The University,Master's Degree in Computer Science,
122,University of Texas at Dallas,M.S in Business Analytics with specialization in Data Science and Marketing,"Dallas, TX"
122,"Cambridge Institute of technology, Visvesvaraya Technological University",B.E in Electronics and Communication,
123,University of Minnesota - Morris,Bachelor of Arts in Statistics,MN
124,University of Dschang,Bachelors,
124,Prince Georges Community College,Associate,
125,National University,Bachelor's in Degree in Computer Science,
126,College of Charleston,Bachelor of Science in Marie Biology,"Charleston, SC"
127,,,
128,University of Buea,Associate in B.Sc. Political Science and Public Administration,
129,International Islamic University of Chittagong (IIUC),Bachelors in Science in Computer Science and Engineering,Chittagong
131,University of Illinois at Chicago,Master of Science in Computer Science,"Chicago, IL"
131,Sardar Vallabhbhai National Institute of Technology,Bachelor of Technology in Computer Engineering,
132,G. Pulla Reddy Engineering College,B.tech. in Electrical and Electronics Engineering,"Kurnool, ANDHRA PRADESH, IN"
133,Purdue University,Bachelor of Science in Business Administration in Project Management,
133,Arizona State University,Doctorate of Behavioral Health in Behavioral Health,
134,University of Texas at Dallas,M.S. in Business Analytics,"Dallas, TX"
134,Kurukshetra University,Bachelors of Technology in Computer Science and Engineering,"Kurukshetra, HARYANA, IN"
135,CAPELLA UNIVERSITY,MBA in Human Resource Management,
135,AMERICAN INTERNATIONAL UNIVERSITY,BA in Political Science,
135,INDIANA UNIVERSITY,Business Management & Information Technology,
136,GABELLI SCHOOL OF BUSINESS at FORDHAM UNIVERSITY,Master of Science in Information System,"New York, NY"
136,SCHOOL OF MANAGEMENT at SHANGHAI UNIVERSITY OF ENGINEERING SCIENCE,Bachelor of Science in Financial Management,Shanghai
137,WEST VIRGINIA WESLEYAN COLLEGE,BACHELOR OF SCIENCE in Molecular Biology,
139,University Of Yaoundé,Bachelor's Degree,
140,Los Alamitos High School,Diploma,"Los Alamitos, CA"
141,Utah State University,"Bachelors of Arts in History, Bachelors of Arts in International Studies","Logan, UT"
142,Ivy Tech Community College,,"Kokomo, IN"
142,University of Maryland University College,Web Design Course,"Adelphi, MD"
142,Lively Technical Center,,"Tallahassee, FL"
143,Kolhapur Institute of Technology,Bachelor of Engineering in Engineering Computer Science,"Kolhapur, Maharashtra"
144,Western Governor's University,BS in Accounting,
144,Metropolitan Community College of Kansas City,AA in Business Administration,Kansas City
145,Rhode Island College,Political Science & Business,"Providence, RI"
146,Florida International University,Bachelor of Management Information System in Suite,"Miami, FL"
147,Youngstown State University,Bachelor of Science in Business Administration in Information and Supply Chain Management,"Youngstown, OH"
147,Erie Community College,Associate of Applied Science in Networking,"Williamsville, NY"
148,Lamar High School,High School Diploma,"Houston, TX"
149,Intranetworking engineering PCage,High school,"Jersey City, NJ"
150,"Indiana University - Bloomington, IN",Bachelor of Liberal Studies in Healthcare Administration,"Bloomington, IN"
151,Borough of Manhattan CC,Associate in Computer Science,"Manhattan, NY"
152,Bapatla Engineering College,Bachelor's Degree in Information Technology,Information Technology
153,University of California - Santa Barbara,Bachelor's in Chemical Engineering,"Santa Barbara, CA"
154,North Western Polytechnic University,Master's in computer science,"Fremont, CA"
154,J.B Institute of Engineering and Technology,Bachelor of Technology in Bio Medical Engineering,"Hyderabad, Telangana"
155,Metropolitan Community College,Associates Degree in Computer Science and Information Systems in Cybersecurity,
157,University of ADO,Bachelor of Science in Geography,A??
158,,,
159,Florida State University,Master of Applied and Computational Mathematics in Applied and Computational Mathematics,"Tallahassee, FL"
159,Tamkang University,Bachelor of Science in Mathematics in Mathematics,"New Taipei City, TW"
160,University of Arkansas at Little Rock,Master of Science in Information Quality,"Little Rock, AR"
160,Uttar Pradesh Technical University,Bachelor of Engineering in Information Technology,"Noida, Uttar Pradesh"
161,Northwestern Polytechnic University,MBA,
161,University of South Wales,MS in Aeronautical Engineering,
162,Virginia Commonwealth University,Bachelor of Science in Business Administration & Management,
163,Kennesaw State University,Business Administration,"Kennesaw, GA"
164,Oxford College of Emory University,Associate in Psychology,"Oxford, GA"
164,Emory University,Bachelor's in Psychology and Philosophy,"Atlanta, GA"
