person_id,title,firm,location
1,Database Administrator,Family Private Care LLC,"Roswell, GA"
1,Database Administrator,Incomm,"Alpharetta, GA"
2,Database Administrator,Intercontinental Registry,"Lagos, GU"
3,Oracle Database Administrator,Cognizant,"Hyderabad, Telangana"
3,Oracle Database Administrator,Convergys,"Hyderabad, Telangana"
4,"Amazon Redshift Administrator and ETL Developer, Business Intelligence","MSP Recovery - Fort Lauderdale, FL","Plantation, FL"
4,Database Administrator,"CEAACES - Quito, Provincia de Pichincha",QUITO ECUADOR
4,Database Administrator,"Ceige - Havana, IL","CEIGE, LA HAVANA CUBA"
5,Scrum Master,Quest Technologies,"Washington, DC"
5,Oracle Database Administrator/ Scrum Master,Prudential,"Richmond, VA"
5,Junior Oracle Database Administrator,Time Warner Cable,"Richmond, VA"
6,Oracle Database Administrator,SUNTRUST BANK,"Tampa, FL"
6,Oracle Database Administrator,ESTES-EXPRESS,"Richmond, VA"
6,Field Service Representative / Technician,ROCHE DIAGNOSTICS FOR ADECCO TECHNICAL,"Columbia, MD"
7,Oracle Database Administrator,Caresource,"Cincinnati, OH"
7,Oracle Database Administrator,Anthem,"Indianapolis, IN"
7,Production Support Database Administrator,PNC Bank,"Columbus, OH"
8,Lead Database Administrator/Developer,Department of Housing and Urban Development,"Bowie, MD"
8,Production Support Database Administrator,Citi Group,
8,Oracle Database Administrator,Citi Group,
8,Database Administrator,"University of Maryland, University College",
9,Database Administrator / Database Developer,"Dominion Diagnostics, LLC","North Kingstown, RI"
9,Database Administrator,Teknor Apex Company,"Pawtucket, RI"
9,Senior Database Specialist,CVS Health,
9,Database Specialist,CVS Health,
9,Technical Support Consultant,CVS Health,
9,Consumer Relations Representative,Kaz USA Inc,"Southborough, MA"
10,Oracle Database Administrator,Uber Technologies Inc,"Greenbelt, MD"
10,Database Administrator / Developer,SYSCO,
10,NFI Junior DBA,NFI,
11,Database Administrator,Booz Allen Hamilton,"Los Angeles, CA"
11,Database Administrator,Huntington National Bank,"Columbus, OH"
11,Oracle Database Administrator,Coca Cola,"Atlanta, GA"
12,Senior Oracle Database Administrator,United Health group,"Hyattsville, MD"
12,Oracle Database Administrator,Weatherford laboratories,"Houston, TX"
12,Database Administrator,Walmart,"Washington, DC"
13,Database Administrator,First Tennessee Bank,"Charlotte, NC"
13,Oracle Database Administrator,United Airlines,"Chicago, IL"
14,Database Administrator,City of Iowa City,"Iowa City, IA"
14,Database development,"ITS, University","Iowa City, IA"
14,Student Administrator,Library IT,"Iowa City, IA"
14,Receptionist,Office of Statewide Clinical Education Programs,"Iowa City, IA"
15,SQL Database Administrator/SQL DBA,Bureau of Indian Affairs,"Washington, DC"
15,SQL Database Administrator/SQL DBA,Census Bureau,"Suitland, MD"
16,SQL DBA/ Database Administrator,,
17,SQL Database Administrator/Developer,Avant Network,"Richmond, VA"
17,Database Administrator/Developer,ITSC PLC,"Addis Ababa, ETH"
17,Graphics Design Assistant,SEMS STUDIO PLC,"Addis Ababa, ETH"
18,SQL Server Database Administrator,FEDERAL RESERVE BANK,"Fort Worth, TX"
18,SQL Server Database Administrator,OMNITRACS LLC,"Dallas, TX"
18,SQL Database Administrator Support,Nationstar Mortgage LLC,"Lewisville, TX"
19,SQL Developer / DBA,United Medical Center,"Washington, DC"
19,SQL Database Analyst,Winrock International,"Arlington, VA"
19,Database Administrator,Clutch Group,"Arlington, VA"
19,Database Analyst,"Driven, Inc","Arlington, VA"
19,Application Support Analyst,"Driven, Inc","Arlington, VA"
19,Technical Support Specialist,Active-Edge-Techs,"Arlington, VA"
20,Systems Administrator,Automann,"Somerset, NJ"
20,Database Analyst,Hadassah,"New York, NY"
20,Systems/ Database Administrator,"Sango America, Inc","Fairview, NJ"
20,Contract Installation/Network Technician,Hewlett-Packard,"East Hanover, NJ"
20,Quality Control Technician,Sanofi Genzyme Biosurgery,"Ridgefield, NJ"
21,Oracle Database Administrator,Sedgwick CMS,"Memphis, TN"
21,Oracle Database Administrator,3M Companies Inc,"Dallas, TX"
22,Oracle Database Administrator,Department of Education:Osseo School District ISD 279,"Minneapolis, MN"
22,Oracle Database Administrator,IBM,"Fargo, ND"
23,CSR,Shively Brothers Inc,"Bay City, MI"
23,Systems Administrator,"J.R. Dahn Construction, LLC","Essexville, MI"
23,Systems Developer,"Bell Nursery USA, LLC","Elkridge, MD"
23,Associate Database/Systems Administrator,"BLC Consulting, LLC","Gainesville, VA"
24,Oracle Database Administrator,Norton Healthcare,"Louisville, KY"
24,Oracle Database Administrator,Krogers,"Cincinnati, OH"
24,Oracle Database Administrator,Miso Inc,
24,Oracle Junior DBA,Brightpoint Inc,"Indianapolis, IN"
25,Database Administrator (contractor),ISHGLO-ONE Corporation,"Frederick, MD"
25,Junior Database Administrator,The Kidz Docs,"Alexandria, VA"
26,DBA/ Database Administrator,Bridge IT Support Services LLC,"Reston, VA"
26,Junior SQL Server Database Administrator,Jittu Horticulture PLC MIDROC Technology Group,
27,Oracle Database Administrator,Executive Office for US Attorneys,"Washington, DC"
27,Database Administrator II,CACI International,"Washington, DC"
27,Remedy Consultant,Column Technologies,"Annandale, VA"
28,Database Administrator,Cigna,"Phoenix, AZ"
28,Male Revue Dancer,Labare,"Dallas, TX"
29,"Database Administrator, Intern",City of Augusta,"Augusta, GA"
29,"Client Support, Intern",City of Augusta,"Augusta, GA"
29,Volunteer,The City of Augusta Ga's Cyber & Robotics Camp,"Augusta, GA"
30,Oracle Database Administrator,Delta Airlines,"Atlanta, GA, USA"
30,Oracle Database Administrator,Qualcomm,"San Diego, CA, USA"
